tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.0817,0.0,0.2014,0.169,0.0,0.0012,0.1837
syft+ort,0.0,0.0,0.0118,0.0,0.0,0.0194,0.0,0.0,0.0307
syft+scancode,0.0,0.0,0.0053,0.0042,0.0665,0.05,0.0,0.0076,0.0444
syft+cdxgen,0.1232,0.0,0.1066,0.0004,0.2806,0.1327,0.0,0.0011,0.2808
gh-sbom+ort,0.0,0.0,0.0487,0.0,0.0,0.0747,0.0,0.019,0.0868
gh-sbom+scancode,0.0,0.0,0.0021,0.0,0.0417,0.0287,0.0,0.0026,0.0306
gh-sbom+cdxgen,0.0,0.0,0.4393,0.0,0.4282,0.3961,0.0,0.0172,0.6725
ort+scancode,0.0,0.0,0.0012,0.0,0.0,0.0024,0.0,0.0034,0.0035
ort+cdxgen,0.0,0.0,0.0296,0.0,0.0,0.0442,0.0,0.0026,0.0579
scancode+cdxgen,0.0,0.0,0.0102,0.0056,0.0973,0.0759,0.0,0.0068,0.0424
