tools,repo_name_meta,repo_version,matched_comps,author_score,type_score,purl_score,cpe_score,license_score,version_score
syft+gh-sbom,0.0,0.0,0.2176,0.0,0.4459,0.4188,0.0,0.0012,0.4237
syft+ort,0.0,0.0,0.0282,0.0,0.0,0.0417,0.0,0.0,0.0642
syft+scancode,0.0,0.0,0.0061,0.0075,0.0336,0.0266,0.0,0.0105,0.0242
syft+cdxgen,0.3371,0.0,0.1514,0.0,0.2988,0.3182,0.0,0.0017,0.3446
gh-sbom+ort,0.0,0.0,0.188,0.0,0.0,0.1877,0.0,0.0378,0.1549
gh-sbom+scancode,0.0,0.0,0.0023,0.0,0.0321,0.0221,0.0,0.0034,0.0114
gh-sbom+cdxgen,0.0,0.0,0.4739,0.0,0.6844,0.5561,0.0,0.0761,0.5196
ort+scancode,0.0,0.0,0.0004,0.0,0.0,0.0015,0.0,0.0012,0.0012
ort+cdxgen,0.0,0.0,0.1485,0.0,0.0,0.2127,0.0,0.0308,0.242
scancode+cdxgen,0.0,0.0,0.0398,0.0043,0.273,0.1454,0.0,0.0057,0.0281
